"";"x"
"1";"20"
"2";"28"
"3";"36"
"4";"50"
"5";"05"
"6";"17"
"7";"19"
"8";"27"
"9";"39"
"10";"46"
"11";"48"
"12";"51"
"13";"72"
"14";"08"
"15";"40"
"16";"26"
"17";"21"
"18";"06"
"19";"18"
"20";"42"
"21";"55"
"22";"13"
"23";"31"
"24";"38"
"25";"47"
"26";"29"
"27";"04"
"28";"35"
"29";"12"
"30";"45"
"31";"37"
"32";"16"
"33";"54"
"34";"01"
"35";"11"
"36";"30"
"37";"33"
"38";"02"
"39";"53"
"40";"22"
"41";"24"
"42";"49"
"43";"56"
"44";"32"
"45";"15"
"46";"41"
"47";"44"
"48";"23"
"49";"25"
"50";"34"
"51";"09"
"52";"10"
